"year","mean_sst","min_sst","max_sst"
"1960",18.450726503796,10.8943920135498,25.4737586975098
"1961",18.8352957990434,11.9103307723999,25.119010925293
"1962",18.5876581721836,10.7286682128906,26.1572780609131
"1963",18.6164786020915,10.9287433624268,26.2785739898682
"1964",18.6058592849308,11.4772920608521,25.7003707885742
"1965",18.1024538516998,10.848014831543,25.0667476654053
"1966",18.5936492972904,12.1507329940796,25.4321308135986
"1967",18.6597770161099,11.6266355514526,26.2151260375977
"1968",18.5373972998725,11.6417284011841,24.7955684661865
"1969",18.1878134621514,11.1924152374268,25.1738033294678
"1970",18.2147748788198,11.1427450180054,25.5723438262939
"1971",18.3313653786977,11.7188653945923,26.3063087463379
"1972",18.1608683798048,11.8915376663208,25.0254287719727
"1973",18.2654042455885,11.3057317733765,25.7811813354492
"1974",18.0460144307878,11.3923215866089,25.1802520751953
"1975",18.3787085798052,12.5483131408691,25.310173034668
"1976",18.032374631034,11.5123500823975,24.8772716522217
"1977",18.2243804136912,11.1868286132812,24.8440742492676
"1978",17.8295423242781,11.7924842834473,24.5957908630371
"1979",18.1947814835442,11.6274480819702,25.1119575500488
"1980",17.8749568674299,11.2351427078247,25.277006149292
"1981",18.1583282735613,11.3839597702026,24.8945808410645
"1982",18.5693199210697,11.0595483779907,25.6147975921631
"1983",18.4261589315202,12.0816679000854,25.5621891021729
"1984",17.9147273540497,11.5183773040771,24.6317405700684
"1985",18.2563950750563,10.9013690948486,25.5145015716553
"1986",18.5849851555294,10.9314422607422,26.4273300170898
"1987",18.4560472859277,10.6429615020752,25.6909370422363
"1988",18.8298510657416,12.3679418563843,26.4783573150635
"1989",18.3836751249101,11.5869827270508,25.7215099334717
"1990",18.6361106766595,12.1078472137451,25.301025390625
"1991",18.0972910192278,12.1040334701538,25.675163269043
"1992",18.4363663249546,10.6618728637695,26.959005355835
"1993",18.3640644338396,10.5437307357788,25.8739109039307
"1994",18.868935028712,11.453104019165,27.5743999481201
"1995",18.3436503092448,12.4323377609253,26.3404235839844
"1996",18.170705042945,10.4642944335938,25.8555145263672
"1997",18.3681695249346,11.4329624176025,25.884485244751
"1998",18.5379558987088,11.1317224502563,26.6469554901123
"1999",18.8949105527666,11.30712890625,26.2761077880859
"2000",18.9748859935337,11.7344799041748,25.6629390716553
"2001",18.9278182082706,12.2103977203369,26.2093162536621
"2002",18.5529151598612,10.0522518157959,25.9731864929199
"2003",19.2162994808621,10.4203548431396,28.1008567810059
"2004",18.6741876708137,10.0760192871094,25.843542098999
"2005",18.6211147414313,10.3641405105591,25.4335803985596
"2006",18.9725743187798,10.7416067123413,26.4724617004395
"2007",18.9122465875414,12.470477104187,26.0910701751709
"2008",18.7040573702918,11.5401296615601,26.2164268493652
"2009",18.8661540879144,11.2144212722778,27.0190181732178
"2010",18.6244564321306,10.1911182403564,26.1383533477783
"2011",19.2731272273593,11.4214925765991,26.6831283569336
"2012",19.4534865326352,11.3260231018066,27.7981262207031
"2013",18.985839955012,11.1132316589355,26.812068939209
"2014",19.3862824810876,12.3196468353271,26.4120826721191
"2015",19.861521715588,12.3229475021362,27.7539024353027
"2016",19.4628412670559,12.104887008667,26.2208518981934
"2017",19.3395093229082,11.5527400970459,27.0447120666504
"2018",19.6086947864956,11.176887512207,27.8296241760254
"2019",19.3915194670359,11.2112951278687,27.3718185424805
"2020",19.5177777661218,12.4180345535278,27.4833965301514
"2021",19.3428792105781,11.6430759429932,27.1114387512207
"2022",19.5874906169044,11.4672584533691,27.936429977417
